State_UT,Year,Primary_Boys,Primary_Girls,Primary_Total,Upper_Primary_Boys,Upper_Primary_Girls,Upper_Primary_Total,Secondary_Boys,Secondary_Girls,Secondary_Total,Higher_Secondary_Boys,Higher_Secondary_Girls,Higher_Secondary_Total
Andaman & Nicobar Islands,2015-16,91.13,86.76,88.93,86.35,81.97,84.14,89.07,84.28,86.69,72.92,76.40,74.62
Andhra Pradesh,2015-16,84.88,84.05,84.48,81.12,81.56,81.33,74.63,76.48,75.51,58.28,62.27,60.16
Arunachal Pradesh,2015-16,127.61,125.88,126.76,127.14,133.20,130.13,91.66,87.58,89.63,62.02,61.60,61.81
Assam,2015-16,104.70,107.59,106.11,87.65,98.75,93.05,72.48,83.04,77.59,38.22,39.47,38.81
Bihar,2015-16,104.35,111.30,107.67,98.21,119.39,107.89,72.42,85.43,78.37,34.76,36.66,35.62
Chandigarh,2015-16,77.42,86.57,81.44,90.42,102.40,95.53,85.23,89.84,87.19,80.86,86.75,83.28
Chhattisgarh,2015-16,100.17,99.87,100.02,101.62,103.08,102.33,89.44,94.48,91.93,53.89,54.11,54.00
Dadra & Nagar Haveli,2015-16,84.69,80.21,82.53,93.71,87.97,90.96,91.56,85.17,88.57,45.29,52.60,48.49
Daman & Diu,2015-16,79.68,84.95,82.03,74.86,84.64,79.15,67.05,81.44,72.97,16.32,32.27,21.54
Delhi,2015-16,108.04,113.93,110.71,118.86,140.55,128.12,103.23,111.27,106.81,73.25,83.60,77.90
Goa,2015-16,100.89,104.45,102.57,96.83,100.93,98.74,103.03,105.44,104.16,70.79,81.59,75.84
Gujarat,2015-16,95.64,99.11,97.24,94.70,96.99,95.73,80.26,66.82,74.13,45.17,41.42,43.43
Haryana,2015-16,89.96,93.21,91.41,87.39,99.22,92.39,84.20,84.23,84.22,59.68,59.48,59.59
Himachal Pradesh,2015-16,97.97,99.73,98.80,103.37,105.47,104.36,108.44,105.53,107.08,94.58,96.60,95.53
Jammu And Kashmir,2015-16,84.86,87.24,85.98,68.77,71.85,70.20,67.65,65.88,66.81,61.01,55.98,58.60
Jharkhand,2015-16,108.56,109.92,109.22,97.75,108.19,102.73,70.70,76.93,73.65,47.75,48.98,48.32
Karnataka,2015-16,102.93,103.04,102.98,92.43,94.39,93.37,82.35,84.19,83.22,37.12,42.87,39.86
Kerala,2015-16,95.45,95.44,95.44,94.55,96.28,95.39,102.31,102.58,102.44,72.88,82.44,77.56
Lakshadweep,2015-16,77.90,69.90,73.80,92.53,75.67,83.26,105.39,102.06,103.66,93.23,102.35,98.16
Madhya Pradesh,2015-16,95.35,93.52,94.47,90.49,98.13,94.02,81.54,79.30,80.49,47.04,43.24,45.25
Maharashtra,2015-16,97.86,97.60,97.74,97.44,101.38,99.24,91.97,87.62,89.95,68.74,66.74,67.81
Manipur,2015-16,128.91,132.90,130.85,127.00,132.94,129.89,93.61,92.52,93.07,71.10,64.81,67.95
Meghalaya,2015-16,138.75,143.12,140.90,126.00,146.20,135.89,80.73,93.94,87.27,39.77,47.03,43.35
Mizoram,2015-16,124.91,121.00,122.99,135.90,133.60,134.78,107.26,110.85,109.02,53.57,57.86,55.68
Nagaland,2015-16,98.14,100.96,99.50,98.55,106.40,102.28,68.90,74.57,71.62,36.42,36.44,36.43
Odisha,2015-16,104.91,102.50,103.73,94.86,93.63,94.26,79.40,79.83,79.61,36.99,36.07,36.54
Puducherry,2015-16,80.20,90.23,84.79,82.41,92.57,87.04,83.59,95.38,88.95,64.74,86.95,74.80
Punjab,2015-16,99.87,103.99,101.70,95.01,102.92,98.38,87.12,86.97,87.06,69.03,71.69,70.19
Rajasthan,2015-16,101.27,99.48,100.43,91.46,91.21,91.34,81.15,70.12,76.06,66.09,51.59,59.31
Sikkim,2015-16,107.27,98.32,102.87,143.72,157.85,150.61,113.52,126.14,119.78,60.72,75.88,68.23
Tamil Nadu,2015-16,103.39,104.43,103.89,92.55,95.65,94.03,91.86,96.18,93.92,74.14,90.60,82.03
Telangana,2015-16,103.13,102.90,103.02,88.61,90.27,89.41,80.73,84.44,82.53,57.99,64.88,61.32
Tripura,2015-16,107.58,108.36,107.96,125.75,130.33,127.97,116.17,120.91,118.49,45.24,41.53,43.46
Uttar Pradesh,2015-16,88.63,96.16,92.15,68.24,83.49,75.08,67.65,67.86,67.75,62.21,59.26,60.78
Uttarakhand,2015-16,98.87,99.76,99.29,85.84,88.07,86.89,85.71,85.73,85.72,73.36,78.54,75.83
West Bengal,2015-16,103.13,104.26,103.68,97.90,112.64,105.00,74.92,92.65,83.56,48.98,54.36,51.54
All India,2015-16,97.87,100.69,99.21,88.72,97.57,92.81,79.16,80.97,80.01,55.95,56.41,56.16
