State,13-aes-cases,13-aes-death,13-je-cases,13-je-death,14-aes-cases,14-aes-death,14-je-cases,14-je-death,15-aes-cases,15-aes-death,15-je-cases,15-je-death,16-aes-cases,16-aes-death,16-je-cases,16-je-death,17-aes-cases,17-aes-death,17-je-cases,17-je-death,18-aes-cases,18-aes-death,18-je-cases,18-je-death
Andhra Pradesh,345,3,7,3,31,0,0,0,50,0,0,0,4,0,0,0,37,0,1,0,16,0,0,0
Arunachal Pradesh,0,0,0,0,102,11,32,3,73,2,32,2,1,0,0,0,5,0,5,0,0,0,0,0
Assam,1388,272,495,134,2194,360,761,165,1409,260,614,135,1713,187,427,92,2077,178,604,87,1492,183,509,94
Bihar,417,143,14,0,1358,355,20,2,285,90,66,12,324,102,100,25,189,54,74,11,124,33,74,11
Delhi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,48,1,3,1,17,0,0,0,0,0,0,0,12,0,1,0,1,0,0,0,18,0,3,0
Haryana,2,0,2,0,6,1,5,1,2,0,2,0,2,0,2,0,4,1,4,1,0,0,0,0
Jharkhand,270,5,89,5,288,2,90,2,217,8,116,8,296,5,47,5,272,1,29,1,544,0,66,0
Karnataka,162,0,2,0,75,0,13,0,335,1,27,1,406,0,11,0,332,2,26,2,380,5,35,5
Kerala,53,6,2,0,6,2,3,2,29,3,2,1,18,5,2,0,7,4,1,0,26,14,5,2
Maharashtra,0,0,0,0,0,0,0,0,51,0,7,0,70,1,12,1,143,0,27,0,48,1,6,1
Manipur,1,0,0,0,16,0,1,0,34,0,6,0,475,1,47,1,1125,10,186,10,283,3,57,3
Meghalaya,0,0,0,0,212,3,72,3,174,8,41,8,164,4,47,4,160,4,48,4,243,6,90,6
Nagaland,20,0,4,0,20,1,6,0,10,1,0,0,0,0,0,0,36,2,10,2,27,0,1,0
Odisha,0,0,0,0,0,0,0,0,660,2,33,2,1096,115,242,42,1228,15,79,0,1720,10,143,0
Punjab,0,0,0,0,2,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0
Tamil Nadu,77,8,33,0,346,4,36,3,847,0,53,0,859,3,51,0,1358,2,127,2,1287,5,147,0
Telengna,0,0,0,0,155,5,0,0,157,1,8,1,72,0,4,0,136,0,11,0,27,0,20,0
Tripura,211,0,14,0,323,0,14,0,459,4,28,4,380,1,98,1,323,0,90,0,311,0,59,0
Uttar Pradesh,3096,609,281,47,3329,627,191,34,2894,479,351,42,3919,621,410,73,4724,654,693,93,3080,230,323,25
Uttarakhand,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,1735,226,140,12,2385,348,415,78,2165,351,342,75,1839,256,174,39,1514,169,165,40,1762,146,140,35
